,Subject,Body,File name
0,london advisory council meeting,herewith a letter that ken might want to send to callum mccarthy dear callum i much enjoyed chatting with you in aspen it is always a relief to meet a regulator who tries to get the process right and then lets the chips fall where they may in its efforts to remain open to new ideas enron has established an advisory council consisting of academics business people political gurus and the like irwin stelzer is a member this council meets twice a year with enron executives our next meeting is scheduled for october at our london headquarters we have a dinner the previous evening at which we review the state of political play around the world you might find it interesting one of the suggestions at the aspen meeting was that traditional regulation of energy markets might usefully give way to or at least learn some lessons from financial regulation since you are one of the few regulators who has had experience both in financial markets and in utility regulation we are hoping that you might be willing to share some ideas with us on this subject a minute talk followed by what i promise will be a very lively discussion would be perfect from our point of view we know how pressed you are for time but are hoping you will favor us with your thoughts on this interesting and difficult subject ken i dont think you can offer him a fee,8842.
1,natsource direct,sheri for purposes of reviewing product descriptions for the natsource direct on line trading platform the following people will need site access or copies of the product descriptions brent hendry financial and weather products dan hyvl physical gas products marcus nettelton emissions environment wayne gresham coal shari stack physical power i will also need access to review any gtc or other on line agreements i have a copy of the access agreement and will be reviewing it shortly for enron comments thanks for the assistance mark senior counsel ena phone facsimile e mail mark greenberg enron com,9890.
2,assignment of fletcher challenge swaps response to inquiry letter,attached is an email i got from the lawyer for fletcher challenge obviously he is on a short time frame so we need to respond rather quickly russell we need some direction from credit on how we want to proceed on this assignment do you want to meet to go over this and maybe give bert a call or what please let us know tana this email is just a follow up on the telephone message that i left for you earlier today as i explained our firm chamberlain hrdlicka represents apache corporation and i will be replacing saul laureles in concluding our work related to the assignment of certain natural gas price swaps from fletcher challenge industries limited fletcher challenge to shell overseas holdings limited shell and the reassignment from shell to apache corporation my contact information is as follows robert j viguet jr bert chamberlain hrdlicka white williams martin smith street suite houston texas telephone fax rviguet chamberlainlaw com you should have received a letter from saul laureles dated february via overnight courier requesting that your firm confirm certain facts related to the swaps to be assigned as described above we are looking for a written response to that inquiry at your earliest opportunity if there are any errors or other discrepancies in the list of swap transactions or other matters identified in the letter we need to know as soon as possible so that there will be time to resolve those issues before the assignments are made this firm chamberlain hrdlicka has prepared a draft of the assignment and assumption agreements for the transfer of the swaps from fletcher challenge to shell and from shell to apache corporation our draft of the assignment forms is being reviewed by attorneys for shell now but should be available for your review in a few days the acquisition of assets of fletcher challenge energy by shell and apache and the related assignments of the swap transactions is expected to closes in early march if you have any questions or comments concerning the proposed transactions please dont hesitate to contact me i look forward to working with you this communication may be protected by the attorney client privilege and may contain confidential information intended only for the person to whom it is addressed any views or opinions expressed are solely those of the author and do not necessarily represent those of chamberlain hrdlicka white williams and martin any use dissemination forwarding printing or copying of this e mail without consent of the originator is strictly prohibited if you have received this e mail in error please immediately notify robert j viguet jr by telephone at,9438.
3,foreign domestic counsel database,as you know we are continuously updating the foreign domestic counsel database so that it can be maintained in the most accurate form therefore any new information you may have regarding outside counsel firms that have been interviewed and or retained in the past months would be greatly appreciated also if you have any updates to the existing database entries we would also like to hear from you please take the time to help us update this database so it can be a valuable tool for all of us each one of us has full access to the database via your lotus notes application however if your icon has disappeared from your desktop click here to add it back on to your desktop please provide any new information and or updates either to nony flores or becky spencer thank you for your attention to this matter,6660.
4,letters to members of congress and cabinet secretaries for ken,s signature rosie here are the letters i left you a voicemail about please see the email below about which letter are to be mailed and when im sorry to ask you t o print these out but i didnt have any of kens letterhead if you have a ny questions please call ginger dernehl or lora sullivan i will be out of the office until friday there will be a temp at my desk attached is a list of people with their correct salutations and a copy of the form letter i will send up the envelopes for these letters lora sullivan had already printed them out earlier lora fyi steve made one slight change to the letters you sent the onl y change was at the bottom of the letter he added business council after phil cassidys name and added lindas name and number as a contact person lora sullivan pm to maureen mcvicker na enron enron cc subject letters to members of congress and cabinet secretaries for ken lays signature maureen im overnighting these completed letters to you they have been printed on ken lays letterhead and are ready for his signature after steve reviews th em i want you to have electronic copy for your records let me know if you have any questions lora sullivan enron washington memorandum to steve kean cc maureen mcvicker from linda robertson date january re letters to members of congress and usg regarding business council winter meeting steve appended are the new invites to the february business council meeting for k en s signature they are divided into two groups group one should be mailed immediately to the members of congress group two to cabinet secretaries should be mailed on january nd and only after checking with us as to the status of their confirmation we decided to send these invites to the relevant department post confirmation rather to the transition where the invite stood a signficant chance of being lost linda encl,7087.
5,chairman tauzin on negawatts,todays washington post contains a favorable comment on negawatts attributed to house energy commerce committee chairman tauzin following efforts we made yesterday with the chairman and his staff both directly and via our consultants the post article reads in the coming months tauzin said congress will take steps to allow consumers to sell power back to their local energy grids we of course will continue to push for a version of this concept that keeps this process open to multiple buyers and sellers not just the local utility the article dovetails with information directly from chairman tauzin and chairman barton that they will continue to push our demand buydown proposal although we are working with them to shore up support on the committee in the face of opposition from the usual suspects,8528.
6,facility agreement,hi mike i havent heard anything from dave could i call him directly thanks kay hi mike heres a draft of the facility agreement for your review thanks kay ps i think i have a redline somewhere ill check,2592.
7,esource presents dow jones interactive training,esource presents dow jones interactive training attend one of our dow jones interactive personalizing customizing dji and custom clips clinics april pm eb pm eb pm eb seats fill up fast to reserve a seat please call stephanie e taylor at the cost is per person no shows will be charged please bring your dow jones interactive login id and password if you dont have one a guest id will be provided check the esource training page at http esource enron com training doc for additional training sessions and vendor presentations http esource enron com,11096.
8,enymex registration information,april via email tana jones tana jones enron com enron dear tana jones the new york mercantile exchange is excited and we want to tell you why nymex is about to launch enymexsm and its prospects are invigorating over the counter otc participants will now be able to execute transactions on the same platform as nymex futures the exchange plans to use its proven clearing infrastructure to introduce complete counter party risk management and create net margining with exchange futures markets by calculating a consolidated clearing position subsequent enymexsm functionality will also provide an internet based interface to the established exchange futures market by routing futures orders to the trading floor and the nymex accessc electronic trading system depending on the session attached please find information announcing the first slate of products to be offered for listing on enymexsm since we value your business as a forerunner in this industry we are enclosing for your review the sale registration form which consists of the enymexsm system user agreement please review sign and return to robert a dagistino director of customer service new york mercantile exchange one north end avenue new york n y any questions can be answered via email at rdagistino nymex com or via telephone at the signatory must be an executive officer or partner of the firm we are also attaching two click on screens that users will view when they first log on to the system please note that since the enymexsm products will be cleared you will also need to obtain authorization from a clearing member for your account a nymex team consisting of members of our board local traders and staff will be visiting each one of you in person they will discuss with you how to utilize the benefits of nymex to achieve precision in many of your customized transactions we look forward to receiving your registration and participation in what is intended to be the premier global exchange for forward trading and clearing contracts focusing on energy and metals products sincerely ole obj neal wolkoff executive vice president enymex information doc enymex system user agreement doc clickonscreensfinal doc enymex information doc enymex system user agreement doc clickonscreensfinal doc,10903.
9,important conference call on qf srac matters scheduled for,p m noonish on sunday jan an important conference call is scheduled for p m pst on sunday today jan to discuss the status of legislative meetings on qf srac matters call in number is particpant code is status report after a marathon hour meeting with assemplyman keeley senator battin qf parties and sce a keeley sponsored deal was proposed at a m this morning the crux of the deal is as follows for renewables and non gas fired qf essentially cents kwh for delivered power for years all in i e includes capacity and energy on losses no clawback for wind resources which may have failed to meet fixed capacity obligations in the past applies going forward presumedly feb for gas fired qfs cents kwh for five years assuming gas is payment will increase decrease tied to gas this assumes an ier of on line losses applies going forward caacity true up and forbearance were not addressed credit worthiness will be address in the technical conference scheduled for later today sunday this program will require in part legislative blessing and direction followed by cpuc approval of individual contract amendments this is essentially the pg e qf deal for the gas guys for the renewables it is more of a fixed payment approach a technical conference is scheduled for sunday today in sacramento to work out some of the implementing details,7133.
