,Body,File name,Subject
0,i think i am too nice w alcohol original message from nelson michelle sent monday november am to maggi mike subject re see be nice do you need alcohol to be nice original message from maggi mike sent monday november am to nelson michelle subject re you make me mean original message from nelson michelle sent monday november am to maggi mike subject re because it makes you mean original message from maggi mike sent monday november am to nelson michelle subject re why original message from nelson michelle sent monday november am to maggi mike subject re no im not take that patch off original message from maggi mike sent monday november am to nelson michelle subject re yes you are original message from nelson michelle sent monday november am to maggi mike subject re i dont think that i am liking you too much today original message from maggi mike sent monday november am to nelson michelle subject re it wasnt at the top of my to do list original message from nelson michelle sent monday november am to maggi mike subject you didnt tell me that becky got engaged,1290.,re
1,attached is a brief overview of the egm business i realize you probably already have this lisa this organization represents perhaps the biggest near term earnings growth opportunity we have as a company and one that will require our organization to develop expertise in new markets new regualtory fora and perhaps new countries from time to time im sure we will all be called on to help out so ill endeavor to pass on any info i receive steve attached for your information is a copy of a general presentation that i prepared to illustrate and describe egms businesses this is a presentation that will become a living document to communicate our businesses and growth i will be making numerous changes as we move closer to the analyst meeting in january but i wanted to give everyone a copy of this version please dont hesitate to call me if you have any questions or comments mike,2191.,egm business presentation
2,no one seems to know about the proxicom documents and dave samuels in eol said your worked on this is proxicom ringing any bell with you tana i believe you can find most of these in contracts with carmen ayala at let me know if she doesnt have them diana ovalle am john pavetto pm to diana ovalle corp enron enron cc subject rush help needed any ideas pm from tana jones ect on pm to john pavetto corp enron enron mary weatherstone hou ect ect jay webb hou ect ect cc dave samuels hou ect ect subject rush help needed we are trying to locate the following agreements immediately for a rush project for louise kitchen valtech jay webb mary weatherstone octopi john pavetto tibco john pavetto luminant john pavetto shockwave contractor in dallas john pavetto proxicom john pavetto pubpoint john pavetto or bob hillier portal builder product of tibco john pavetto weblogic jay webb mary weatherstone houston it contractors john pavetto if you could please let me know if you have the above contracts or who does and or provide me with copies i would be most thankful,9128.,rush help needed
3,bob consistent with our meeting yesterday with amerex i have made revisions to the beta and attached a version marked with the changes the version attached also reflects changes made to the base beta agreement which i have provided to mark t which with the exception of one item has been approved i have also attached a copy of the marked base beta agreement for your reference as we discussed with amerex the changes to the beta will be reflected in a side agreement and not within the actual beta document please let me know if you should have any additional comments or questions i will be leaving the office at for a lunch appointment and will be back by mark senior counsel ena phone facsimile e mail mark greenberg enron com,9562.,amerex beta
4,member services notice no may commodity exchange inc switch of status please be advised that effective may craig wolf dot will switch his status from an option member to a licensee member however mr wolf will remain a member guaranteed by fc stone llc furthermore be advised that effective may chris karris kar will switch his status from a licensee member to a full member however mr karris will remain a member guaranteed by pioneer futures inc notice of intention to transfer membership notice of intention to transfer membership has been posted on the bulletin board of the exchange by robert blatchley brt and susan buckwalter in connection therewith notification of any claims against the aforementioned individual arising out of transactions executed on the exchange up to the close of business on may must be submitted to the corporate secretarys office within ten days inquiries regarding the above should be directed to the member services department at please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdo c ms note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,12236.,ms switch of status
5,we have received an executed termination agreement between enron canada corp ecc and gulf canada resources limited gulf canada effective as of january this termination agreement terminates the isda master agreement dated as of october between ecc and crestar energy inc crestar crestar was amalgamated into gulf canada effective as of january with the surviving entity being gulf canada gulf canada has an isda master agreement with ecc effective as of september copies will be distributed stephanie panus,10003.,termination agreement
6,chairman heberts response to cpuc white paper see attached docket rp from christi l nicolay ect am to linda l lawrence na enron enron jennifer thome na enron enron cc subject re ferc response to cpuc paper and include jennifer thome too thanks linda also include leslie and becky thanks from christi l nicolay am to alan comnes enron enronxgate ray alvarez na enron enron susan j mara na enron enron james d steffes na enron enron sarah novosel corp enron enron linda robertson na enron enron steve walton hou ect ect dave perrino sf ect ect jeff dasovich na enron enron cc linda l lawrence na enron enron subject ferc response to cpuc paper fyi ferc responds to california energy commissioners white paper on natural gas infrastructure issues chairman hebert responded to the may letter from california energy commission michal moore who invited hebert to comment on a draft staff white paper on natural gas infrastructure issues by the cec electricity and natural gas committee hebert expressed agreement with the white papers general conclusion the natural gas system in california is strained in meeting growing demand hebert is encouraged that the report recommends supporting intrastate system expansions and exploring the role that enhanced storage can play in meeting future demand comments and recommendations from ferc staff attached to heberts letter include expanding the discussion on the need for slack pipeline capacity to achieve price stability detailing possible options for shippers to avoid interruption and an examination of possible anti competitive provisions in intrastate tariffs linda l can you email herberts response to this group thanks,28109.,re ferc response to cpuc paper
7,any conflicts please email a two way nda to aspen technologies wayne bartel wayne bartel petrovantage com aspen technologies canal park cambridge mass fax,11009.,aspen technologies nda
8,steve i wanted to follow up on our conversation and get you my contact information since i didnt have a business card i enjoyed talking with you look forward to staying in touch lewis a lee sachs message from lee sachs lsachs perseusllc com on fri jun subject lewis a lee sachs,7091.,contact information
9,good morning tana i work with laurel adams in the risk managment group please provide me with access to the financial trading agreements thank you in advance for your assistance regards jorge,3598.,financial trading agreements
10,thanks yes i did know about the conference ken has a copy of the study and made reference to it several times during our visits to sac a couple of weeks ago its nice to occasionally see some rational thinking in california i look forward to catching up with you when i get back to town carol benter mckinsey com on am to skean enron com cc suzanne nimocks mckinsey com subject re kenneth lay chairman enron chairman enron hope you are keeping your head above water i wanted to let you know about this request as you know we did work for the bay area council i dont know if you will be joining ken on this but i did send you a copy of the report a couple of weeks ago i did not send one to ken but will let me know if you need any additional copies am lenny mendonca to alana obrien pm aobrien bayareacouncil org cc michael cunningham mcunningham bayareacouncil org paul lee e mail paul lee mckinsey com sean randolph e mail sean bayeconfor org tony sugalski e mail tony sugalski mckinsey com jacqui miranda bcc suzanne nimocks hou northamerica mckinsey subject re kenneth lay chairman enron document link suzanne nimocks good idea jacqui knows my calendar lenny mendonca phone fax alana obrien aobrien bayareac to lenny mendonca e mail ouncil org lenny mendonca mckinsey com tony sugalski e mail tony sugalski mckinsey com paul lee am e mail paul lee mckinsey com cc sean randolph e mail sean bayeconfor org michael cunningham mcunningham bayareacouncil org subject kenneth lay chairman enron pine street suite san francisco ca phone fax info bayareacouncil org lenny tony and paul we have been contacted by janet yamane of marathon communications inviting the bay area council to sponsor a meeting with bay area ceos and kenneth lay chairman of enron who will be visiting california this week to discuss energy and on she offered am but added that if that wasnt available that another time could be scheduled further on sunne wanted your opinion on this request fred furlong federal reserve bank is not available am so that date really wont work please advise alana alana obrien vice president operations event management this message may contain confidential and or privileged information if you are not the addressee or authorized to receive this for the addressee you must not use copy disclose or take any action based on this message or any information herein if you have received this message in error please advise the sender immediately by reply e mail and delete this message thank you for your cooperation,8521.,re kenneth lay chairman enron
11,please refer to epmi tag on this tag i stacked transmission with different transmission providers the tag was implemented by each ca and tp i recieved a call from pnms marketing group requesting that i cancel this implemented tag and re submit it as tags for each tp it was actualy pnms ca area and trani group that had a problem with the tag pnm the marketer agreed that it would be o k to leave the tag since it had already been implemented and they would look into the issue further after speeking with don lacen who i believe represents pnm on the isas committe i was told that stacking tags with different trani providers was not industry standard and that they would prefer that i tag them seperatly in the future until an agreement is reached on this tagging process i agreed to tag seperately for each tp please let me know if you know otherwise thanks stacy runswick enron north america ph fx stacy runswick enron com,36.,stacking tags issue
12,we have received an executed master agreement type of contract isda master agreement multicurrency cross border effective date october enron entity risk management trading corp counterparty enron teesside operations limited transactions covered approved for all products confirming entity risk management trading corp governing law texas copies will be distributed cordially susan s bailey enron north america corp smith street suite a houston texas phone fax e mail susan bailey enron com,12341.,enron teesside operations limited
13,while we dont need to do any lobbying on this bill if anyone hears any information about chances for success it would be good to get the info to me enron wind has an interest in seeing this bill move forward thanks jim alan comnes ect pm to david parquet sf ect ect michael etringer hou ect ect christopher f calger pdx ect ect mark fillinger sf ect ect sandra mccubbin na enron enron hap boyd ewc enron enron james d steffes na enron enron richard shapiro na enron enron jeff dasovich na enron enron paul kaufman pdx ect ect cc subject qf meeting today highlights despite the fact the bill by itself does not guarantee payment for overdue receivables the qfs on todays call decided to go forward and push for sbx irrespective of the progress on sbx a press conference is planned for friday by iep bowen who heads up the first committee that this bill will go through will have hearings on this bill on tuesday at the earliest jan s j asked every qf to fax to iep a description of all qf generation and the zip code of each project so that they can begin lobbying specific legislators a significant pr push is planned sbx is opposed by sce pg es position appears more ambivalent one angle would be to try to get pg e to support enrons swap sc language and make inclusion of such language a condition of pg es support gac,7621.,qf meeting today highlights
14,bipac endorses candidate for special election pa pennsylvania special election may representative bud shuster r resigned candidates bill shuster r son of incumbent auto dealer scott conklin d county commissioner from centre county it is time for pacs to gear up and take notice of the special election being held in pa bill shusters pro business stance results directly from his numerous years of insight into the business world for the past decade he has owned a small business in his district prior to owning his own automobile dealership he spent years immersed in the auto industry he worked for a supplier in michigan for a number of years and he also served as regional manager for goodyear in the washington metro area in his bipac candidate interview mr shuster proved that he was very knowledgeable of the issues that are most important to the business industry his stance on health care trade issues market issues environmental regulation and tax reform all were cohesive to the objectives business hopes to accomplish in the th congress despite the fact that this should be a landslide win with a republican running in a republican district you will more than likely see a very competitive race there is a weakened republican base due to competing factions within the state republican party bill shuster for congress committee www shuster com allegheny street po box hollidaysburg pa telephone or fax,5414.,special election pa
15,attached please find sb polanco which is the governors new and improved mou this should be referred to senate energy today and heard as soon as http info sen ca gov pub bill sen sb sbx bill amend ed sen pdf,28831.,sb mou
